LSOA code,LSOA name,LONG__y,LAT_y,Vehicle crime
E01008941,Birmingham 115C,-1.86504,52.4169,7
E01008942,Birmingham 117A,-1.87587,52.4106,14
E01008943,Birmingham 117B,-1.87832,52.4134,19
E01008944,Birmingham 115D,-1.85525,52.412,15
E01008945,Birmingham 122A,-1.86994,52.4122,16
E01008946,Birmingham 122B,-1.873,52.4071,7
E01008947,Birmingham 122C,-1.88247,52.4085,11
E01008948,Birmingham 122D,-1.88378,52.4043,20
E01008949,Birmingham 122E,-1.87964,52.4023,16
E01008950,Birmingham 113A,-1.94667,52.425,17
E01008951,Birmingham 112A,-1.93602,52.4266,16
E01008952,Birmingham 112B,-1.92107,52.4274,47
E01008953,Birmingham 107A,-1.91564,52.4249,20
E01008954,Birmingham 113B,-1.95377,52.422,11
E01008955,Birmingham 112C,-1.92592,52.4231,26
E01008956,Birmingham 112D,-1.93666,52.4209,7
E01008957,Birmingham 112E,-1.92362,52.4186,15
E01008958,Birmingham 113C,-1.95554,52.4192,11
E01008959,Birmingham 116A,-1.94338,52.4169,16
E01008960,Birmingham 116B,-1.93199,52.4181,26
E01008961,Birmingham 116C,-1.92971,52.4169,6
E01008962,Birmingham 116D,-1.95396,52.4129,12
E01008963,Birmingham 107B,-1.90427,52.4313,21
E01008964,Birmingham 107C,-1.91113,52.4354,12
E01008965,Birmingham 107D,-1.9125,52.4289,18
E01008966,Birmingham 107E,-1.90877,52.4234,27
E01008967,Birmingham 110A,-1.90033,52.422,15
E01008968,Birmingham 110B,-1.892,52.4249,11
E01008969,Birmingham 117C,-1.88159,52.4193,10
E01008970,Birmingham 110C,-1.90424,52.4227,7
E01008971,Birmingham 117D,-1.89082,52.4183,20
E01008972,Birmingham 118A,-1.91203,52.418,14
E01008973,Birmingham 118B,-1.90632,52.4159,13
E01008974,Birmingham 118C,-1.89696,52.4136,22
E01008975,Birmingham 118D,-1.9104,52.4109,8
E01008976,Birmingham 121A,-1.8891,52.4112,11
E01008977,Birmingham 123A,-1.91704,52.414,13
E01008978,Birmingham 121B,-1.89045,52.4067,12
E01008979,Birmingham 121C,-1.90812,52.4069,15
E01008980,Birmingham 121D,-1.89813,52.4066,14
E01008981,Birmingham 110D,-1.89741,52.4295,16
E01008982,Birmingham 079A,-1.91039,52.4554,12
E01008984,Birmingham 074A,-1.90402,52.4598,14
E01008986,Birmingham 064A,-1.94578,52.4742,46
E01008987,Birmingham 064B,-1.93239,52.4748,18
E01008988,Birmingham 064C,-1.93782,52.4735,63
E01008989,Birmingham 064D,-1.95029,52.4731,54
E01008990,Birmingham 064E,-1.92797,52.4671,33
E01008991,Birmingham 064F,-1.94514,52.4683,86
E01008992,Birmingham 079C,-1.93975,52.4622,39
E01008994,Birmingham 074B,-1.91082,52.4684,48
E01008995,Birmingham 134A,-1.90077,52.4654,20
E01008996,Birmingham 074C,-1.89823,52.4629,12
E01008997,Birmingham 074D,-1.91002,52.4619,15
E01008998,Birmingham 031A,-1.83676,52.5126,21
E01008999,Birmingham 031B,-1.84279,52.5149,22
E01009000,Birmingham 031C,-1.84656,52.5183,23
E01009001,Birmingham 018A,-1.84122,52.5363,24
E01009002,Birmingham 023A,-1.84389,52.5332,9
E01009003,Birmingham 018B,-1.82633,52.5321,17
E01009005,Birmingham 025A,-1.81963,52.5305,10
E01009006,Birmingham 023C,-1.84248,52.5314,14
E01009007,Birmingham 023D,-1.83908,52.5259,30
E01009008,Birmingham 028A,-1.82668,52.5255,11
E01009009,Birmingham 025B,-1.81935,52.5263,13
E01009011,Birmingham 028B,-1.82179,52.5208,25
E01009012,Birmingham 028C,-1.83237,52.52,20
E01009013,Birmingham 031D,-1.83937,52.5197,27
E01009014,Birmingham 090A,-1.84173,52.4444,7
E01009015,Birmingham 089G,-1.81965,52.4443,14
E01009016,Birmingham 098A,-1.83523,52.441,39
E01009017,Birmingham 097A,-1.84876,52.4453,10
E01009018,Birmingham 090B,-1.83199,52.4452,25
E01009019,Birmingham 103A,-1.8219,52.4366,14
E01009020,Birmingham 103B,-1.82516,52.4406,13
E01009021,Birmingham 103C,-1.81788,52.4404,22
E01009022,Birmingham 098B,-1.83144,52.4387,21
E01009023,Birmingham 098C,-1.83284,52.4337,15
E01009024,Birmingham 103D,-1.82685,52.432,10
E01009025,Birmingham 103E,-1.82062,52.4326,10
E01009026,Birmingham 090C,-1.84078,52.4501,10
E01009028,Birmingham 090D,-1.83653,52.4492,19
E01009029,Birmingham 090E,-1.83142,52.4484,10
E01009030,Birmingham 098D,-1.84097,52.4358,9
E01009031,Birmingham 105C,-1.85231,52.4304,18
E01009032,Birmingham 108A,-1.83816,52.4314,21
E01009033,Birmingham 103F,-1.8297,52.4271,7
E01009034,Birmingham 108B,-1.84498,52.4268,7
E01009035,Birmingham 108C,-1.83703,52.4272,14
E01009036,Birmingham 108D,-1.84034,52.422,3
E01009037,Birmingham 105D,-1.85426,52.4238,22
E01009039,Birmingham 132A,-1.84475,52.4182,5
E01009040,Birmingham 132B,-1.84975,52.4211,13
E01009041,Birmingham 132C,-1.83995,52.4163,9
E01009042,Birmingham 132D,-1.84656,52.4125,13
E01009043,Birmingham 097B,-1.84468,52.4409,23
E01009044,Birmingham 097C,-1.85576,52.441,19
E01009045,Birmingham 097D,-1.85028,52.4397,23
E01009046,Birmingham 097E,-1.85335,52.4353,17
E01009047,Birmingham 040C,-1.91077,52.5056,28
E01009048,Birmingham 040D,-1.91509,52.5055,27
E01009049,Birmingham 032A,-1.91789,52.5139,33
E01009050,Birmingham 035A,-1.91162,52.5163,27
E01009051,Birmingham 033A,-1.89949,52.5149,25
E01009053,Birmingham 033B,-1.8884,52.5124,21
E01009054,Birmingham 033C,-1.89794,52.5102,22
E01009056,Birmingham 032B,-1.92359,52.5099,31
E01009057,Birmingham 035D,-1.91388,52.5104,20
E01009058,Birmingham 033D,-1.89208,52.5104,12
E01009059,Birmingham 035E,-1.90838,52.5095,39
E01009060,Birmingham 035F,-1.90157,52.5075,27
E01009061,Birmingham 033E,-1.89506,52.5075,2
E01009062,Birmingham 040E,-1.90604,52.5055,15
E01009064,Birmingham 095B,-1.96574,52.4459,17
E01009065,Birmingham 075A,-1.95224,52.4656,36
E01009066,Birmingham 073A,-1.96163,52.4685,40
E01009067,Birmingham 075B,-1.96046,52.4614,13
E01009068,Birmingham 075C,-1.95231,52.4588,22
E01009069,Birmingham 075D,-1.94711,52.4595,26
E01009070,Birmingham 073B,-1.97157,52.4582,32
E01009071,Birmingham 087B,-1.96404,52.4524,31
E01009072,Birmingham 075E,-1.96101,52.4568,16
E01009073,Birmingham 085A,-1.97756,52.4511,8
E01009074,Birmingham 085B,-1.97462,52.4544,15
E01009075,Birmingham 087C,-1.94994,52.4541,40
E01009077,Birmingham 095C,-1.96154,52.4486,32
E01009078,Birmingham 087E,-1.95023,52.446,26
E01009079,Birmingham 038A,-1.81698,52.5066,21
E01009080,Birmingham 038B,-1.79929,52.5069,11
E01009081,Birmingham 038C,-1.80825,52.5037,21
E01009082,Birmingham 044A,-1.82374,52.5034,30
E01009083,Birmingham 038D,-1.80307,52.5033,16
E01009084,Birmingham 042A,-1.81061,52.499,11
E01009085,Birmingham 042B,-1.81574,52.5,5
E01009086,Birmingham 044B,-1.8241,52.4999,15
E01009087,Birmingham 042C,-1.80064,52.4994,26
E01009088,Birmingham 045A,-1.79667,52.4978,29
E01009089,Birmingham 042D,-1.80435,52.4939,18
E01009090,Birmingham 042E,-1.81327,52.4921,16
E01009091,Birmingham 045B,-1.79361,52.4935,22
E01009092,Birmingham 054A,-1.80073,52.4891,20
E01009093,Birmingham 054B,-1.79197,52.4889,16
E01009094,Birmingham 054C,-1.79871,52.4859,9
E01009095,Birmingham 056A,-1.81021,52.4874,36
E01009096,Birmingham 029A,-1.78958,52.5231,10
E01009097,Birmingham 029B,-1.78037,52.5179,23
E01009098,Birmingham 025C,-1.80688,52.5203,36
E01009099,Birmingham 029C,-1.78973,52.5198,19
E01009100,Birmingham 025D,-1.81222,52.5298,24
E01009101,Birmingham 029D,-1.79978,52.5131,28
E01009102,Birmingham 028D,-1.81904,52.5125,35
E01009103,Birmingham 029E,-1.79272,52.5141,13
E01009104,Birmingham 028E,-1.83183,52.5147,18
E01009105,Birmingham 025E,-1.79986,52.5248,6
E01009106,Birmingham 029F,-1.78218,52.5242,7
E01009107,Birmingham 128A,-1.93235,52.3995,14
E01009108,Birmingham 127A,-1.93951,52.4009,5
E01009109,Birmingham 123B,-1.92087,52.4023,7
