LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009507,Birmingham 056B,47.318,-1.81256,52.4824,Burglary,32
E01009286,Birmingham 096C,14.443,-1.92579,52.4401,Burglary,32
E01009117,Birmingham 126A,57.955,-1.94858,52.4078,Burglary,32
E01009661,Coventry 028D,32.784,-1.48641,52.4089,Burglary,31
E01009977,Sandwell 016B,28.349,-2.03685,52.5345,Burglary,31
E01010019,Sandwell 024B,42.412,-2.00389,52.4983,Burglary,31
E01009322,Birmingham 069D,56.274,-1.77792,52.4717,Burglary,31
E01009619,Coventry 038D,23.094,-1.48503,52.4011,Burglary,31
E01033623,Birmingham 138C,32.489,-1.90527,52.4863,Burglary,31
E01009988,Sandwell 020A,42.705,-1.99704,52.5139,Burglary,30
E01033622,Birmingham 138B,17.367,-1.90507,52.4831,Burglary,30
E01009051,Birmingham 033A,48.525,-1.89949,52.5149,Burglary,30
E01009153,Birmingham 053C,48.369,-1.92956,52.4829,Burglary,30
E01033639,Birmingham 136D,49.896,-1.92261,52.4747,Burglary,30
E01010062,Sandwell 026C,55.643,-1.9643,52.4967,Burglary,30
E01032886,Solihull 029G,7.638,-1.84228,52.3795,Burglary,30
E01008915,Birmingham 030A,42.113,-1.87423,52.5174,Burglary,30
E01009070,Birmingham 073B,13.977,-1.97157,52.4582,Burglary,30
E01009744,Dudley 022B,41.423,-2.12643,52.48,Burglary,30
E01032531,Coventry 036E,51.338,-1.57994,52.395,Burglary,30
E01010123,Solihull 003C,14.454,-1.75867,52.5029,Burglary,30
E01010442,Wolverhampton 018A,42.871,-2.10308,52.5768,Burglary,30
E01009113,Birmingham 128C,69.379,-1.93479,52.389,Burglary,30
E01033617,Birmingham 050F,23.217,-1.89327,52.4853,Burglary,30
E01009258,Birmingham 085E,55.39,-1.98298,52.4516,Burglary,30
E01008919,Birmingham 095A,39.872,-1.97926,52.4451,Burglary,30
E01010164,Solihull 017B,11.127,-1.62089,52.4351,Burglary,30
E01009523,Coventry 010A,16.097,-1.57955,52.4385,Burglary,30
E01009955,Sandwell 035C,35.883,-2.07856,52.4739,Burglary,30
E01010168,Solihull 025B,7.199,-1.65708,52.4165,Burglary,30
E01009671,Coventry 042C,10.672,-1.55095,52.372,Burglary,30
E01033646,Birmingham 031I,64.138,-1.85027,52.5173,Burglary,29
E01009414,Birmingham 030E,42.949,-1.86279,52.5128,Burglary,29
E01010046,Sandwell 023A,40.625,-1.96836,52.4995,Burglary,29
E01009064,Birmingham 095B,34.229,-1.96574,52.4459,Burglary,29
E01009071,Birmingham 087B,28.171,-1.96404,52.4524,Burglary,29
E01009413,Birmingham 030D,46.869,-1.85717,52.5123,Burglary,29
E01008967,Birmingham 110A,14.13,-1.90033,52.422,Burglary,29
E01008961,Birmingham 116C,22.079,-1.92971,52.4169,Burglary,29
E01033644,Birmingham 052F,59.486,-1.86046,52.4878,Burglary,29
E01009048,Birmingham 040D,63.744,-1.91509,52.5055,Burglary,29
E01009239,Birmingham 033F,37.061,-1.89358,52.5223,Burglary,29
E01008887,Birmingham 078C,46.456,-1.81983,52.4598,Burglary,29
E01009572,Coventry 015D,44.338,-1.49547,52.4218,Burglary,29
E01010453,Wolverhampton 035F,40.812,-2.11525,52.5716,Burglary,28
E01009186,Birmingham 088D,23.236,-1.90236,52.4426,Burglary,28
E01033633,Birmingham 125G,50.746,-2.01539,52.4049,Burglary,28
E01010443,Wolverhampton 018B,54.494,-2.10653,52.5832,Burglary,28
E01010121,Solihull 001C,12.429,-1.77915,52.504,Burglary,28
E01009615,Coventry 027A,18.453,-1.47946,52.4088,Burglary,28
E01010410,Wolverhampton 033A,45.111,-2.07274,52.5597,Burglary,28
E01009346,Birmingham 053E,41.743,-1.94226,52.4889,Burglary,28
E01010106,Sandwell 019D,43.577,-1.9972,52.5206,Burglary,28
E01009840,Dudley 018A,45.461,-2.09047,52.4965,Burglary,28
E01032590,Solihull 030D,15.705,-1.83326,52.4153,Burglary,28
E01008972,Birmingham 118A,51.82,-1.91203,52.418,Burglary,28
E01010145,Solihull 005A,24.46,-1.74483,52.4926,Burglary,27
E01010093,Sandwell 013A,42.251,-2.01705,52.534,Burglary,27
E01010002,Sandwell 030B,23.789,-2.01816,52.4877,Burglary,27
E01009816,Dudley 012A,8.058,-2.15301,52.5042,Burglary,27
E01009424,Birmingham 004B,13.963,-1.84681,52.5701,Burglary,27
E01010192,Solihull 019A,8.595,-1.78594,52.4073,Burglary,27
E01010063,Sandwell 026D,60.387,-1.94794,52.4941,Burglary,27
E01008986,Birmingham 064A,31.779,-1.94578,52.4742,Burglary,27
E01009497,Birmingham 109C,23.555,-1.97388,52.4184,Burglary,27
