LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01033622,Birmingham 138B,17.367,-1.90507,52.4831,Bicycle theft,5
E01010213,Solihull 022E,20.623,-1.81318,52.395,Bicycle theft,5
E01009332,Birmingham 139E,60.271,-1.86172,52.473,Bicycle theft,5
E01008957,Birmingham 112E,32.874,-1.92362,52.4186,Bicycle theft,5
E01009526,Coventry 010B,12.743,-1.54818,52.4322,Bicycle theft,5
E01009098,Birmingham 025C,39.736,-1.80688,52.5203,Bicycle theft,5
E01010353,Walsall 010C,26.083,-1.95086,52.622,Bicycle theft,5
E01008917,Birmingham 102A,20.608,-2.00767,52.4414,Bicycle theft,5
E01009702,Coventry 029E,44.336,-1.57684,52.4049,Bicycle theft,5
E01009449,Birmingham 009A,23.843,-1.82829,52.5605,Bicycle theft,5
E01033058,Coventry 042F,16.18,-1.55197,52.3864,Bicycle theft,5
E01010500,Wolverhampton 002D,40.724,-2.13701,52.6197,Bicycle theft,4
E01009209,Birmingham 124D,27.614,-1.97382,52.4047,Bicycle theft,4
E01008971,Birmingham 117D,23.515,-1.89082,52.4183,Bicycle theft,4
E01010090,Sandwell 005A,39.525,-2.02987,52.5552,Bicycle theft,4
E01010470,Wolverhampton 020E,41.971,-2.14574,52.5807,Bicycle theft,4
E01009651,Coventry 031D,51.364,-1.52229,52.4076,Bicycle theft,4
E01009655,Coventry 016A,28.603,-1.47886,52.422,Bicycle theft,4
E01010363,Walsall 026D,46.583,-1.99545,52.5822,Bicycle theft,4
E01010247,Walsall 022C,14.808,-1.92487,52.5975,Bicycle theft,4
E01010349,Walsall 005B,27.488,-1.96476,52.6269,Bicycle theft,4
E01010378,Walsall 019A,18.935,-2.0241,52.597,Bicycle theft,4
E01010380,Walsall 020C,19.657,-2.04845,52.6031,Bicycle theft,4
E01010271,Walsall 017A,51.211,-2.00243,52.6049,Bicycle theft,4
E01009384,Birmingham 092E,53.154,-1.88598,52.4516,Bicycle theft,4
E01009397,Birmingham 077E,57.163,-1.87317,52.4558,Bicycle theft,4
E01010336,Walsall 034A,33.256,-1.99146,52.5675,Bicycle theft,4
E01010433,Wolverhampton 035E,46.113,-2.1272,52.5749,Bicycle theft,4
E01010158,Solihull 012C,40.413,-1.78902,52.4469,Bicycle theft,4
E01010123,Solihull 003C,14.454,-1.75867,52.5029,Bicycle theft,4
E01010137,Solihull 012B,30.723,-1.78692,52.4376,Bicycle theft,4
E01010420,Wolverhampton 023C,39.582,-2.08942,52.5737,Bicycle theft,4
E01009524,Coventry 006A,29,-1.53362,52.4408,Bicycle theft,4
E01010404,Walsall 025C,44.077,-2.05966,52.5813,Bicycle theft,4
E01009555,Coventry 034B,9.302,-1.54994,52.3961,Bicycle theft,4
E01009556,Coventry 034C,17.5,-1.53304,52.3965,Bicycle theft,4
E01009299,Birmingham 057B,48.978,-1.77725,52.481,Bicycle theft,4
E01010405,Walsall 027B,36.669,-2.04053,52.5823,Bicycle theft,4
E01010191,Solihull 022A,4.902,-1.79776,52.4051,Bicycle theft,4
E01009543,Coventry 033D,6.016,-1.43636,52.3997,Bicycle theft,4
E01009159,Birmingham 130A,23.431,-2.00907,52.3982,Bicycle theft,4
E01009069,Birmingham 075D,16.528,-1.94711,52.4595,Bicycle theft,4
E01009072,Birmingham 075E,19.26,-1.96101,52.4568,Bicycle theft,4
E01009184,Birmingham 092B,29.974,-1.88953,52.4455,Bicycle theft,4
E01010525,Wolverhampton 013D,40.494,-2.14126,52.5981,Bicycle theft,4
E01010567,Wolverhampton 010E,37.676,-2.06629,52.607,Bicycle theft,4
E01032531,Coventry 036E,51.338,-1.57994,52.395,Bicycle theft,4
E01032533,Coventry 036G,8.203,-1.58084,52.3877,Bicycle theft,4
