OBJECTID,WD21CD,WD21NM,WD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
4792,E05011219,Bexleyheath, ,549432,175599,0.14959,51.459641,{1D7119D2-485A-4DFD-A106-B0E84D34F0AD},12296.6309,3625470.315
4793,E05011220,Blackfen & Lamorbey, ,545675,173813,0.094815999,51.444569,{475450AC-F541-470B-8C9E-4731BC896A7C},11234.36567,2907053.29
4794,E05011221,Blendon & Penhill, ,547205,173640,0.116743,51.442619,{B97A3C47-6263-4B52-AF45-45D54A6B43CA},11122.21691,3373758.215
4795,E05011222,Crayford, ,551144,174884,0.173908,51.45277,{F80B0506-7A54-4CEE-AF13-760A1E1BA738},14093.38746,5104075.886
4796,E05011223,Crook Log, ,548031,175544,0.129416,51.459518,{F0788B68-30FC-435A-8C72-8139CCAF5CA0},10989.79782,2677140.629
4797,E05011224,East Wickham, ,546016,176410,0.10079,51.467819,{E011DC69-CB6C-440F-AC6C-FD69B6CE1553},8922.498939,2817437.164
4798,E05011225,Erith, ,550511,178220,0.166226,51.48291,{3A8B0B87-EAA4-4B8C-8E12-6693A2153FE4},11134.71594,2409134.803
4799,E05011226,Falconwood & Welling, ,546086,175292,0.101336,51.45776,{4FA0D147-8D1E-47D8-8FA9-D8F6FCBCA497},8427.239031,3260497.187
4800,E05011227,Longlands, ,545266,172223,0.088281997,51.430389,{0BA7B5F4-5FA0-46D3-9DF4-447DEB91D55F},7075.754691,1888370.29
4801,E05011228,Northumberland Heath, ,550112,177413,0.16014101,51.475761,{E4AEB2A9-C86A-48A9-99E1-A92CD9C9F5B7},8452.376403,1713716.844
4802,E05011229,St Mary's & St James, ,549119,172218,0.143664,51.429352,{3862FEF3-AA9A-4B51-9477-F9BD60F6DC6A},17073.35814,8748642.026
4803,E05011230,Sidcup, ,547136,171540,0.114879,51.423771,{D6769932-1DF5-4B25-9BDD-BF40E104041E},12443.91802,3990575.294
4804,E05011231,Slade Green & Northend, ,552734,176807,0.197604,51.46962,{F525C3BD-BF03-4F7C-9245-78CE108EE7B5},13833.37559,4328754.115
4805,E05011232,Thamesmead East, ,548362,180279,0.13616601,51.50198,{ECAE0618-E124-41CC-82E8-B303F8775641},8980.338015,4283404.007
4806,E05011233,West Heath, ,547996,177382,0.129682,51.47604,{FE91D75F-6003-4746-B9D1-F39AFD979AF1},8719.208751,2377553.729
4807,E05011234,Aldborough, ,546281,190122,0.110292,51.590961,{2EE2C00A-AAFB-4F36-9144-F43F1CEC220C},14772.88601,8498450.641
4808,E05011235,Barkingside, ,543545,189053,0.070387997,51.582062,{37056936-8978-43E2-B520-699F79672F8A},5765.746019,1629813.116
4809,E05011236,Bridge, ,541926,191891,0.048184,51.607971,{468E3501-FC40-4654-9991-4059600C8D48},10536.82533,3452093.268
4810,E05011237,Chadwell, ,547235,188324,0.1233,51.574558,{AD11DDA4-8309-4009-9A77-FBF5C38612D4},6203.298588,1555715.443
4811,E05011238,Churchfields, ,540593,191106,0.028633,51.60125,{723A5B2D-4125-4BBB-BD95-EF617ADD053E},6777.854179,2015512.602
4812,E05011239,Clayhall, ,542364,189217,0.053420998,51.583832,{87B330B0-FDFF-44D4-8D06-B84EF4BF71AF},7310.22698,2533240.379
4813,E05011240,Clementswood, ,544258,186037,0.079434,51.554779,{7C6CC08F-03B0-4E1B-9443-9CA1375A126B},4062.110946,899519.2453
4814,E05011241,Cranbrook, ,542626,187665,0.056570001,51.56982,{CD2C65CB-C56E-463C-8AFC-269D648EC280},5808.005153,1490879.658
4815,E05011242,Fairlop, ,544789,190945,0.089109004,51.59874,{5914501B-689F-4430-B31D-D7AE5376F0FF},10574.65478,2870672.43
4816,E05011243,Fullwell, ,542869,190336,0.061159998,51.593761,{1BDAD374-63C2-4992-B399-ECC01BE844B9},8736.028647,2769770.662
4817,E05011244,Goodmayes, ,546383,186642,0.110315,51.559669,{3E8B2D84-76C9-4A63-BB9A-E6B236A67C73},9393.668208,1812201.771
4818,E05011245,Hainault, ,546990,192307,0.121435,51.610409,{83C9B268-B916-4E4A-9203-2F4A8CDA519D},13650.5064,5651996.098
4819,E05011246,Ilford Town, ,544342,186778,0.080949001,51.561409,{88F0E97D-C7EF-4D72-B931-7D92DECB99E5},6548.419535,1060278.526
