OBJECTID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
200,E07000188,Sedgemoor, ,338429,143998,-2.8824601,51.19186,203178.0066,-605947562.1
201,E07000189,South Somerset, ,345633,120798,-2.7758801,50.98399,240610.6633,-959058128.5
202,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,50127.60445,-78882570.49
203,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,183696.3968,-389987162.1
204,E07000194,Lichfield, ,416283,310967,-1.7604899,52.696152,127468.4067,-331294334
205,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.3263099,53.003448,108259.2866,-210957319.4
206,E07000196,South Staffordshire, ,389625,311037,-2.1549499,52.696918,184894.3395,-407322253.4
207,E07000197,Stafford, ,389001,327836,-2.1647501,52.847919,159078.8066,-598172233.4
208,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.069241,152448.1853,-575849820.8
209,E07000199,Tamworth, ,421455,302550,-1.68451,52.620312,30730.06254,-30850716.19
210,E07000200,Babergh, ,599987,244692,0.91614902,52.064499,171676.2164,-611640098.9
211,E07000202,Ipswich, ,617161,244456,1.166145,52.05592,36991.93151,-40300126.84
212,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,191154.6732,-871070645.7
213,E07000207,Elmbridge, ,511882,163658,-0.39441001,51.360981,52206.12637,-96334275.39
214,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.339451,28503.70086,-34079152.96
215,E07000209,Guildford, ,500408,151481,-0.56256998,51.253658,128414.4964,-270931189.7
216,E07000210,Mole Valley, ,518377,148953,-0.30603001,51.227489,105403.1788,-258320953.5
217,E07000211,Reigate and Banstead, ,525786,152574,-0.19870999,51.258461,79923.6802,-129143925.1
218,E07000212,Runnymede, ,501777,166979,-0.53855002,51.392731,45677.40928,-78040686.18
219,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,44134.5376,-51161362.54
220,E07000214,Surrey Heath, ,491362,160483,-0.68985999,51.336102,53559.72417,-95092959.18
221,E07000215,Tandridge, ,536365,150325,-0.048050001,51.235809,83136.90281,-248194569.4
222,E07000216,Waverley, ,496363,140635,-0.62343001,51.15686,125436.0563,-345170236.7
223,E07000217,Woking, ,499087,157542,-0.57981998,51.308369,54781.5016,-63603603.84
224,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.564838,113230.6027,-284261503.6
225,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.500938,48148.70911,-78950291.81
226,E07000220,Rugby, ,446498,276244,-1.31828,52.382278,115093.6519,-353557281.1
227,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.161541,261384.0871,-977869054.9
228,E07000222,Warwick, ,428484,267113,-1.58369,52.301418,116717.4793,-282882321
229,E07000223,Adur, ,518076,106472,-0.32416999,50.845718,35424.58962,-43647944.06
230,E07000224,Arun, ,495144,105723,-0.64999002,50.843208,115968.6953,-224703270.5
231,E07000225,Chichester, ,490285,116600,-0.71630001,50.941769,170434.6435,-812415105.4
232,E07000226,Crawley, ,526390,137581,-0.19532999,51.123569,38799.72328,-44971204.97
233,E07000227,Horsham, ,513674,123840,-0.38126001,51.00272,157501.1518,-530962112
234,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.059528,132912.3734,-334029222.4
235,E07000229,Worthing, ,512679,104948,-0.40127,50.833099,29098.09134,-33783057.04
236,E07000234,Bromsgrove, ,399840,273736,-2.0037601,52.361691,113135.4467,-216968481.1
237,E07000235,Malvern Hills, ,377465,252197,-2.3308899,52.16758,230605.7572,-577070981.9
238,E07000236,Redditch, ,403705,265253,-1.9471,52.285412,41301.81906,-54250912.07
239,E07000237,Worcester, ,385725,255196,-2.2102499,52.19482,31263.06634,-33278124.87
240,E07000238,Wychavon, ,398991,247839,-2.01614,52.12886,219520.1515,-663541973.7
241,E07000239,Wyre Forest, ,384106,276388,-2.2349401,52.3853,100867.3839,-195403719.2
242,E07000240,St Albans, ,514580,209623,-0.3407,51.77356,72946.34159,-161205874.1
243,E07000241,Welwyn Hatfield, ,525345,208467,-0.18517999,51.760872,82392.05965,-129536895.7
244,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.864849,135188.2792,-475669102
245,E07000243,Stevenage, ,524622,224531,-0.18987,51.905392,28588.26136,-25969241.28
246,E07000244,East Suffolk, ,636043,266272,1.4561861,52.243992,245813.283,-1294765895
247,E07000245,West Suffolk, ,580944,271124,0.65276903,52.308418,274547.7797,-1034675785
248,E07000246,Somerset West and Taunton, ,304960,130228,-3.3576601,51.06348,279284.259,-1210542985
249,E08000001,Bolton, ,368352,409873,-2.4795201,53.584492,82647.15773,-139792042.6
250,E08000002,Bury, ,379658,410768,-2.3088,53.593102,68541.75979,-99460126.9
251,E08000003,Manchester, ,384591,397063,-2.2335899,53.470089,86851.09016,-115648208.6
252,E08000004,Oldham, ,396603,406784,-2.0527401,53.557678,71165.73154,-142344917.3
253,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,82713.15473,-158128175.1
254,E08000006,Salford, ,374556,398128,-2.38485,53.479271,63268.79412,-97197278.83
255,E08000007,Stockport, ,391806,388264,-2.12467,53.391159,73638.72024,-126040311.1
256,E08000008,Tameside, ,394987,397995,-2.0769999,53.478668,55989.07527,-103154292.4
257,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,60712.77777,-106044771.8
258,E08000010,Wigan, ,362136,402126,-2.5724699,53.51445,88690.4959,-188171013
259,E08000011,Knowsley, ,344762,393778,-2.8329699,53.437881,68167.36916,-86500060.76
