LSOA code,LSOA name,LONG__y,LAT_y,Anti-social behaviour
E01008987,Birmingham 064B,-1.93239,52.4748,16
E01008988,Birmingham 064C,-1.93782,52.4735,33
E01008989,Birmingham 064D,-1.95029,52.4731,47
E01008990,Birmingham 064E,-1.92797,52.4671,22
E01008991,Birmingham 064F,-1.94514,52.4683,10
E01008992,Birmingham 079C,-1.93975,52.4622,4
E01008994,Birmingham 074B,-1.91082,52.4684,96
E01008995,Birmingham 134A,-1.90077,52.4654,77
E01008996,Birmingham 074C,-1.89823,52.4629,12
E01008997,Birmingham 074D,-1.91002,52.4619,8
E01008998,Birmingham 031A,-1.83676,52.5126,24
E01008999,Birmingham 031B,-1.84279,52.5149,14
E01009000,Birmingham 031C,-1.84656,52.5183,17
E01009001,Birmingham 018A,-1.84122,52.5363,10
E01009002,Birmingham 023A,-1.84389,52.5332,37
E01009003,Birmingham 018B,-1.82633,52.5321,25
E01009005,Birmingham 025A,-1.81963,52.5305,10
E01009006,Birmingham 023C,-1.84248,52.5314,14
E01009007,Birmingham 023D,-1.83908,52.5259,89
E01009008,Birmingham 028A,-1.82668,52.5255,4
E01009009,Birmingham 025B,-1.81935,52.5263,8
E01009011,Birmingham 028B,-1.82179,52.5208,17
E01009012,Birmingham 028C,-1.83237,52.52,10
E01009013,Birmingham 031D,-1.83937,52.5197,65
E01009014,Birmingham 090A,-1.84173,52.4444,14
E01009015,Birmingham 089G,-1.81965,52.4443,34
E01009016,Birmingham 098A,-1.83523,52.441,27
E01009017,Birmingham 097A,-1.84876,52.4453,6
E01009018,Birmingham 090B,-1.83199,52.4452,41
E01009019,Birmingham 103A,-1.8219,52.4366,21
E01009020,Birmingham 103B,-1.82516,52.4406,8
E01009021,Birmingham 103C,-1.81788,52.4404,18
E01009022,Birmingham 098B,-1.83144,52.4387,15
E01009023,Birmingham 098C,-1.83284,52.4337,8
E01009024,Birmingham 103D,-1.82685,52.432,20
E01009025,Birmingham 103E,-1.82062,52.4326,19
E01009026,Birmingham 090C,-1.84078,52.4501,25
E01009028,Birmingham 090D,-1.83653,52.4492,11
E01009029,Birmingham 090E,-1.83142,52.4484,21
E01009030,Birmingham 098D,-1.84097,52.4358,6
E01009031,Birmingham 105C,-1.85231,52.4304,7
E01009032,Birmingham 108A,-1.83816,52.4314,15
E01009033,Birmingham 103F,-1.8297,52.4271,11
E01009034,Birmingham 108B,-1.84498,52.4268,3
E01009035,Birmingham 108C,-1.83703,52.4272,20
E01009036,Birmingham 108D,-1.84034,52.422,3
E01009037,Birmingham 105D,-1.85426,52.4238,15
E01009039,Birmingham 132A,-1.84475,52.4182,1
E01009040,Birmingham 132B,-1.84975,52.4211,3
E01009041,Birmingham 132C,-1.83995,52.4163,7
E01009042,Birmingham 132D,-1.84656,52.4125,4
E01009043,Birmingham 097B,-1.84468,52.4409,29
E01009044,Birmingham 097C,-1.85576,52.441,14
E01009045,Birmingham 097D,-1.85028,52.4397,31
E01009046,Birmingham 097E,-1.85335,52.4353,6
E01009047,Birmingham 040C,-1.91077,52.5056,30
E01009048,Birmingham 040D,-1.91509,52.5055,52
E01009049,Birmingham 032A,-1.91789,52.5139,17
E01009050,Birmingham 035A,-1.91162,52.5163,36
E01009051,Birmingham 033A,-1.89949,52.5149,38
E01009053,Birmingham 033B,-1.8884,52.5124,39
E01009054,Birmingham 033C,-1.89794,52.5102,14
E01009056,Birmingham 032B,-1.92359,52.5099,34
E01009057,Birmingham 035D,-1.91388,52.5104,15
E01009058,Birmingham 033D,-1.89208,52.5104,13
E01009059,Birmingham 035E,-1.90838,52.5095,32
E01009060,Birmingham 035F,-1.90157,52.5075,20
E01009061,Birmingham 033E,-1.89506,52.5075,4
E01009062,Birmingham 040E,-1.90604,52.5055,18
E01009064,Birmingham 095B,-1.96574,52.4459,8
E01009065,Birmingham 075A,-1.95224,52.4656,18
E01009066,Birmingham 073A,-1.96163,52.4685,27
E01009067,Birmingham 075B,-1.96046,52.4614,11
E01009068,Birmingham 075C,-1.95231,52.4588,32
E01009069,Birmingham 075D,-1.94711,52.4595,19
E01009070,Birmingham 073B,-1.97157,52.4582,18
E01009071,Birmingham 087B,-1.96404,52.4524,19
E01009072,Birmingham 075E,-1.96101,52.4568,9
E01009073,Birmingham 085A,-1.97756,52.4511,20
E01009074,Birmingham 085B,-1.97462,52.4544,31
E01009075,Birmingham 087C,-1.94994,52.4541,30
E01009077,Birmingham 095C,-1.96154,52.4486,26
E01009078,Birmingham 087E,-1.95023,52.446,27
E01009079,Birmingham 038A,-1.81698,52.5066,18
E01009080,Birmingham 038B,-1.79929,52.5069,21
E01009081,Birmingham 038C,-1.80825,52.5037,13
E01009082,Birmingham 044A,-1.82374,52.5034,7
E01009083,Birmingham 038D,-1.80307,52.5033,21
E01009084,Birmingham 042A,-1.81061,52.499,8
E01009085,Birmingham 042B,-1.81574,52.5,4
E01009086,Birmingham 044B,-1.8241,52.4999,22
E01009087,Birmingham 042C,-1.80064,52.4994,19
E01009088,Birmingham 045A,-1.79667,52.4978,11
E01009089,Birmingham 042D,-1.80435,52.4939,5
E01009090,Birmingham 042E,-1.81327,52.4921,40
E01009091,Birmingham 045B,-1.79361,52.4935,10
E01009092,Birmingham 054A,-1.80073,52.4891,18
E01009093,Birmingham 054B,-1.79197,52.4889,22
E01009094,Birmingham 054C,-1.79871,52.4859,5
E01009095,Birmingham 056A,-1.81021,52.4874,44
E01009096,Birmingham 029A,-1.78958,52.5231,19
E01009097,Birmingham 029B,-1.78037,52.5179,23
E01009098,Birmingham 025C,-1.80688,52.5203,29
E01009099,Birmingham 029C,-1.78973,52.5198,29
E01009100,Birmingham 025D,-1.81222,52.5298,40
E01009101,Birmingham 029D,-1.79978,52.5131,30
E01009102,Birmingham 028D,-1.81904,52.5125,51
E01009103,Birmingham 029E,-1.79272,52.5141,22
E01009104,Birmingham 028E,-1.83183,52.5147,20
E01009105,Birmingham 025E,-1.79986,52.5248,9
E01009106,Birmingham 029F,-1.78218,52.5242,8
E01009107,Birmingham 128A,-1.93235,52.3995,93
E01009108,Birmingham 127A,-1.93951,52.4009,3
E01009109,Birmingham 123B,-1.92087,52.4023,12
E01009110,Birmingham 128B,-1.9245,52.3985,29
E01009111,Birmingham 127B,-1.94606,52.3997,15
E01009112,Birmingham 127C,-1.95337,52.3966,4
E01009113,Birmingham 128C,-1.93479,52.389,43
E01009114,Birmingham 128D,-1.94313,52.3959,23
E01009115,Birmingham 128E,-1.93811,52.3921,18
E01009116,Birmingham 127D,-1.93876,52.4083,18
E01009117,Birmingham 126A,-1.94858,52.4078,37
E01009118,Birmingham 127E,-1.94675,52.4026,5
E01009119,Birmingham 123C,-1.92666,52.4106,23
E01009120,Birmingham 123D,-1.92052,52.4063,25
E01009121,Birmingham 014A,-1.86543,52.5358,32
E01009122,Birmingham 014B,-1.87179,52.5412,21
E01009123,Birmingham 022A,-1.87104,52.5308,15
E01009124,Birmingham 022B,-1.8762,52.5303,33
E01009125,Birmingham 022C,-1.87292,52.5251,17
E01009126,Birmingham 026A,-1.8666,52.5261,5
E01009127,Birmingham 011A,-1.87391,52.5528,13
E01009128,Birmingham 011B,-1.88133,52.5519,33
E01009129,Birmingham 014C,-1.86926,52.5478,18
E01009130,Birmingham 011C,-1.87568,52.5494,24
E01009131,Birmingham 011D,-1.88163,52.5487,19
E01009132,Birmingham 014D,-1.86424,52.545,28
E01009133,Birmingham 011E,-1.87314,52.5458,7
E01009134,Birmingham 011F,-1.88209,52.5438,17
E01009135,Birmingham 010A,-1.85637,52.5425,7
E01009136,Birmingham 014E,-1.86418,52.5411,31
E01009137,Birmingham 011G,-1.87859,52.5399,37
E01009138,Birmingham 060A,-1.95853,52.4799,17
E01009139,Birmingham 060B,-1.96381,52.4803,8
E01009140,Birmingham 060C,-1.93142,52.4795,39
E01009141,Birmingham 137A,-1.92267,52.4822,41
E01009143,Birmingham 136A,-1.92639,52.477,27
E01009145,Birmingham 060D,-1.95164,52.4789,18
E01009146,Birmingham 136B,-1.91365,52.4732,106
E01009147,Birmingham 060E,-1.9634,52.4759,14
E01009151,Birmingham 053A,-1.94876,52.4846,19
